eccentricity_deg,dendritic_field_diameter_min,cell_type
0.381831140801987,7.13987005814236,parasol
0.3790512469489724,6.49845425669879,parasol
0.8268935936065219,8.382370814439673,parasol
0.8565144225599428,8.646976478260592,parasol
1.1126028780872037,15.829524303238289,parasol
1.5253835682712125,14.06766623811295,parasol
1.6594471120758385,14.056897268708637,parasol
2.6380815259247026,15.220288405407883,parasol
2.4096067808059063,18.97732879814405,parasol
2.603128998938219,19.16353133373916,parasol
2.973693439188562,17.419712824691885,parasol
3.082084520122094,21.922982766906163,parasol
3.3053742726526174,20.14929520726136,parasol
3.352750073287706,21.452425395939976,parasol
3.674050236091274,23.30658957671694,parasol
4.080330858833096,20.322340598631907,parasol
5.367532387713366,23.226410415272422,parasol
5.799353981738683,24.457038604610357,parasol
6.220098891038309,23.19530417414633,parasol
6.223076719063004,27.13813512497001,parasol
7.264655828710337,30.09009417751,parasol
7.682834281868889,28.244237340372468,parasol
8.906283519064297,31.64801259297697,parasol
10.544970524750417,36.205166083410326,parasol
12.223029152999228,39.31435444550363,parasol
11.880415475810146,35.04801259558981,parasol
11.958383011309982,29.95406392854593,parasol
13.381995625270331,31.53108740949437,parasol
13.104794843810378,32.88542122084208,parasol
15.40596160908986,36.460216238496194,parasol
14.064075665279894,38.0505426492263,parasol
15.19457031603165,39.23665454771729,parasol
18.88792028801608,38.75140598884627,parasol
14.37578074318352,50.46631333102802,parasol
15.416780209075066,45.900399818138816,parasol
16.08358508082396,49.370494360961295,parasol
16.54213277865678,49.877185957625485,parasol
16.66398152829518,55.37675627337831,parasol
17.254858167721455,50.91272090712478,parasol
17.749064445981304,53.63423476463857,parasol
18.384868140800855,55.32730258609266,parasol
19.178824447180084,58.27735702462491,parasol
19.85697225611285,51.92334422059526,parasol
21.14996825202712,50.28949005146654,parasol
21.448318693789936,49.75955323320099,parasol
22.36457814387308,45.26913778057027,parasol
24.158426885428053,44.30030293629611,parasol
24.337930107786462,50.22534439918103,parasol
22.695264929948564,55.80246236865593,parasol
22.06826488992957,56.99737857799587,parasol
21.31187755261245,61.349462079384416,parasol
22.38956884351225,65.29632252581658,parasol
23.35423370133349,66.6519848943132,parasol
23.68065579357218,63.2457014369327,parasol
23.1856844973735,61.9474598219551,parasol
24.69700718236781,61.26729909654389,parasol
24.863845852428334,55.756186593653794,parasol
26.669427403039123,53.99827955636746,parasol
27.808729519685503,49.12535178310122,parasol
26.48878262488052,58.10652963539274,parasol
26.50146394082453,67.98371088601597,parasol
28.03055633768692,66.5414846323552,parasol
27.24920193351461,62.507391631694105,parasol
28.617083498950297,59.293996836860806,parasol
29.847206405813555,58.65419852543618,parasol
31.57135755982092,58.62426103735625,parasol
31.34250466510001,53.919079371802034,parasol
29.852921240084253,62.455555603885706,parasol
30.27790348570213,64.43942122302666,parasol
29.23919869844245,68.63761423771221,parasol
30.07185720960768,68.620095457494,parasol
31.58647212230071,68.58944835078208,parasol
29.87197859151097,76.99768137868924,parasol
31.82522932862369,81.08767562895719,parasol
33.19431551969532,81.05663288653265,parasol
34.377910949246655,79.35226449805974,parasol
33.18690206933307,75.3305709561564,parasol
31.81406082115053,72.26969757718174,parasol
33.65397674883497,73.76072404232843,parasol
34.12762506861738,72.223591859075,parasol
34.848401866957055,68.52819519407696,parasol
32.250492321859674,63.06835959432829,parasol
32.70960607287258,65.07169058778477,parasol
34.59579449559087,63.0281240307879,parasol
34.81505896469789,50.062143077687736,parasol
35.56737387311788,55.5750134540295,parasol
36.076008505092496,58.55322072937995,parasol
37.36831659105889,60.40156580775086,parasol
37.37666410597874,64.99283734753755,parasol
37.380242183177714,67.06585764711461,parasol
40.36560575339715,59.10887183405685,parasol
39.51053873418271,52.69109238522154,parasol
40.32569724293327,42.73143572398212,parasol
45.79068499716639,54.29891658962288,parasol
34.6311373935266,88.1018230375501,parasol
35.86367617342091,84.4627084478277,parasol
36.10595038875688,76.86512384039659,parasol
37.920851426952176,74.45593771484583,parasol
39.26671369407627,69.1740909451073,parasol
40.39008532748376,72.11305810880661,parasol
37.69164700559367,101.92645272029247,parasol
41.59600084848999,111.89401337559316,parasol
42.47586536206963,107.2858362570979,parasol
41.58671100826491,103.9895146638849,parasol
39.5723625372345,87.99506210732926,parasol
38.19651848013842,80.1104040444124,parasol
42.15451536804692,88.86979778182639,parasol
43.66178014205728,89.77614306337772,parasol
43.34113773256446,80.01843341992746,parasol
43.63392534544464,72.82061997972123,parasol
43.63114084334554,71.31218033215046,parasol
45.19841391979917,75.90967102222866,parasol
47.47490091146818,75.87576824531212,parasol
47.798664108316586,70.51119677897488,parasol
47.44764134240175,62.84738141217178,parasol
47.774267356286,59.639340032149846,parasol
49.84059468179672,64.14810573360491,parasol
51.99629456815297,68.9977365106905,parasol
58.55322072937998,57.08838635422664,parasol
57.76268925361703,66.10553102877519,parasol
60.27064967727937,74.92305001085757,parasol
56.1830167934495,74.19032510628935,parasol
